
CLKs     PCr      PCs      IRs          PCerr  Werr      LEDs         RegW  RDins        MemW  MDins
00dd     3244     3244     00132020     00     00000     00000303     1     00003003     0     00000000
00de     3248     3248     20020022     00     00000     00000303     1     00000022     0     00000000
00df     324c     324c     0000000c     00     00000     00000303     0     00000000     0     00000000
00e0     3250     3250     1600fffa     00     00000     00003003     0     00000000     0     00000000
00e1     323c     323c     00108100     00     00000     00003003     1     00030000     0     00000000
00e2     3240     3240     02149825     00     00000     00003003     1     00030003     0     00000000
00e3     3244     3244     00132020     00     00000     00003003     1     00030003     0     00000000
00e4     3248     3248     20020022     00     00000     00003003     1     00000022     0     00000000
00e5     324c     324c     0000000c     00     00000     00003003     0     00000000     0     00000000
00e6     3250     3250     1600fffa     00     00000     00030003     0     00000000     0     00000000
00e7     323c     323c     00108100     00     00000     00030003     1     00300000     0     00000000
00e8     3240     3240     02149825     00     00000     00030003     1     00300003     0     00000000
00e9     3244     3244     00132020     00     00000     00030003     1     00300003     0     00000000
00ea     3248     3248     20020022     00     00000     00030003     1     00000022     0     00000000
00eb     324c     324c     0000000c     00     00000     00030003     0     00000000     0     00000000
00ec     3250     3250     1600fffa     00     00000     00300003     0     00000000     0     00000000
00ed     323c     323c     00108100     00     00000     00300003     1     03000000     0     00000000
00ee     3240     3240     02149825     00     00000     00300003     1     03000003     0     00000000
00ef     3244     3244     00132020     00     00000     00300003     1     03000003     0     00000000
00f0     3248     3248     20020022     00     00000     00300003     1     00000022     0     00000000
00f1     324c     324c     0000000c     00     00000     00300003     0     00000000     0     00000000
00f2     3250     3250     1600fffa     00     00000     03000003     0     00000000     0     00000000
00f3     323c     323c     00108100     00     00000     03000003     1     30000000     0     00000000
00f4     3240     3240     02149825     00     00000     03000003     1     30000003     0     00000000
00f5     3244     3244     00132020     00     00000     03000003     1     30000003     0     00000000
00f6     3248     3248     20020022     00     00000     03000003     1     00000022     0     00000000
00f7     324c     324c     0000000c     00     00000     03000003     0     00000000     0     00000000
00f8     3250     3250     1600fffa     00     00000     30000003     0     00000000     0     00000000
00f9     323c     323c     00108100     00     00000     30000003     1     00000000     0     00000000
00fa     3240     3240     02149825     00     00000     30000003     1     00000003     0     00000000
00fb     3244     3244     00132020     00     00000     30000003     1     00000003     0     00000000
00fc     3248     3248     20020022     00     00000     30000003     1     00000022     0     00000000
00fd     324c     324c     0000000c     00     00000     30000003     0     00000000     0     00000000
00fe     3250     3250     1600fffa     00     00000     00000003     0     00000000     0     00000000
00ff     3254     3254     0295a022     00     00000     00000003     1     00000002     0     00000000
0100     3258     3258     1680fff7     00     00000     00000003     0     00000000     0     00000000
0101     3238     3238     00168020     00     00000     00000003     1     00000003     0     00000000
0102     323c     323c     00108100     00     00000     00000003     1     00000030     0     00000000
0103     3240     3240     02149825     00     00000     00000003     1     00000032     0     00000000
0104     3244     3244     00132020     00     00000     00000003     1     00000032     0     00000000
0105     3248     3248     20020022     00     00000     00000003     1     00000022     0     00000000
0106     324c     324c     0000000c     00     00000     00000003     0     00000000     0     00000000
0107     3250     3250     1600fffa     00     00000     00000032     0     00000000     0     00000000
0108     323c     323c     00108100     00     00000     00000032     1     00000300     0     00000000
0109     3240     3240     02149825     00     00000     00000032     1     00000302     0     00000000
