
CLKs     PCr      PCs      IRs          PCerr  Werr      LEDs         RegW  RDins        MemW  MDins
00a3     32a8     32a8     1600fffa     00     00000     00003001     0     00000000     0     00000000
00a4     3294     3294     00108100     00     00000     00003001     1     00030000     0     00000000
00a5     3298     3298     02149825     00     00000     00003001     1     00030001     0     00000000
00a6     329c     329c     00132020     00     00000     00003001     1     00030001     0     00000000
00a7     32a0     32a0     20020022     00     00000     00003001     1     00000022     0     00000000
00a8     32a4     32a4     0000000c     00     00000     00003001     0     00000000     0     00000000
00a9     32a8     32a8     1600fffa     00     00000     00030001     0     00000000     0     00000000
00aa     3294     3294     00108100     00     00000     00030001     1     00300000     0     00000000
00ab     3298     3298     02149825     00     00000     00030001     1     00300001     0     00000000
00ac     329c     329c     00132020     00     00000     00030001     1     00300001     0     00000000
00ad     32a0     32a0     20020022     00     00000     00030001     1     00000022     0     00000000
00ae     32a4     32a4     0000000c     00     00000     00030001     0     00000000     0     00000000
00af     32a8     32a8     1600fffa     00     00000     00300001     0     00000000     0     00000000
00b0     3294     3294     00108100     00     00000     00300001     1     03000000     0     00000000
00b1     3298     3298     02149825     00     00000     00300001     1     03000001     0     00000000
00b2     329c     329c     00132020     00     00000     00300001     1     03000001     0     00000000
00b3     32a0     32a0     20020022     00     00000     00300001     1     00000022     0     00000000
00b4     32a4     32a4     0000000c     00     00000     00300001     0     00000000     0     00000000
00b5     32a8     32a8     1600fffa     00     00000     03000001     0     00000000     0     00000000
00b6     3294     3294     00108100     00     00000     03000001     1     30000000     0     00000000
00b7     3298     3298     02149825     00     00000     03000001     1     30000001     0     00000000
00b8     329c     329c     00132020     00     00000     03000001     1     30000001     0     00000000
00b9     32a0     32a0     20020022     00     00000     03000001     1     00000022     0     00000000
00ba     32a4     32a4     0000000c     00     00000     03000001     0     00000000     0     00000000
00bb     32a8     32a8     1600fffa     00     00000     30000001     0     00000000     0     00000000
00bc     3294     3294     00108100     00     00000     30000001     1     00000000     0     00000000
00bd     3298     3298     02149825     00     00000     30000001     1     00000001     0     00000000
00be     329c     329c     00132020     00     00000     30000001     1     00000001     0     00000000
00bf     32a0     32a0     20020022     00     00000     30000001     1     00000022     0     00000000
00c0     32a4     32a4     0000000c     00     00000     30000001     0     00000000     0     00000000
00c1     32a8     32a8     1600fffa     00     00000     00000001     0     00000000     0     00000000
00c2     32ac     32ac     0295a022     00     00000     00000001     1     00000000     0     00000000
00c3     32b0     32b0     1680fff7     00     00000     00000001     0     00000000     0     00000000
00c4     32b4     32b4     20160001     00     00000     00000001     1     00000001     0     00000000
00c5     32b8     32b8     40966000     00     00000     00000001     0     00000000     0     00000000
00c6     32bc     32bc     23bdfffc     00     00000     00000001     1     0000080c     0     00000000
00c7     32c0     32c0     8fb60000     00     00000     00000001     1     000030f8     0     00000000
00c8     32c4     32c4     40967000     00     00000     00000001     0     00000000     0     00000000
00c9     32c8     32c8     23bdfffc     00     00000     00000001     1     00000808     0     00000000
00ca     32cc     32cc     8fb60000     00     00000     00000001     1     00000001     0     00000000
00cb     32d0     32d0     23bdfffc     00     00000     00000001     1     00000804     0     00000000
00cc     32d4     32d4     8fb50000     00     00000     00000001     1     00000000     0     00000000
00cd     32d8     32d8     23bdfffc     00     00000     00000001     1     00000800     0     00000000
00ce     32dc     32dc     8fb40000     00     00000     00000001     1     00000000     0     00000000
00cf     32e0     32e0     23bdfffc     00     00000     00000001     1     000007fc     0     00000000
00d0     32e4     32e4     8fb30000     00     00000     00000001     1     80000000     0     00000000
00d1     32e8     32e8     23bdfffc     00     00000     00000001     1     000007f8     0     00000000
00d2     32ec     32ec     8fb00000     00     00000     00000001     1     00000001     0     00000000
00d3     32f0     32f0     23bdfffc     00     00000     00000001     1     000007f4     0     00000000
00d4     32f4     32f4     8fa40000     00     00000     00000001     1     00000000     0     00000000
00d5     32f8     32f8     23bdfffc     00     00000     00000001     1     000007f0     0     00000000
00d6     32fc     32fc     8fa20000     00     00000     00000001     1     00000000     0     00000000
00d7     3300     3300     42000018     00     00000     00000001     0     00000000     0     00000000
00d8     30f8     30f8     20140003     00     00000     00000001     1     00000003     0     00000000
00d9     3174     3174     afa20000     00     00000     00000001     0     00000000     1     00000000
00da     3178     3178     23bd0004     00     00000     00000001     1     000007f4     0     00000000
00db     317c     317c     afa40000     00     00000     00000001     0     00000000     1     00000000
00dc     3180     3180     23bd0004     00     00000     00000001     1     000007f8     0     00000000
00dd     3184     3184     afb00000     00     00000     00000001     0     00000000     1     00000001
00de     3188     3188     23bd0004     00     00000     00000001     1     000007fc     0     00000000
00df     318c     318c     afb30000     00     00000     00000001     0     00000000     1     80000000
00e0     3190     3190     23bd0004     00     00000     00000001     1     00000800     0     00000000
00e1     3194     3194     afb40000     00     00000     00000001     0     00000000     1     00000003
00e2     3198     3198     23bd0004     00     00000     00000001     1     00000804     0     00000000
00e3     319c     319c     afb50000     00     00000     00000001     0     00000000     1     00000000
00e4     31a0     31a0     23bd0004     00     00000     00000001     1     00000808     0     00000000
00e5     31a4     31a4     afb60000     00     00000     00000001     0     00000000     1     00000001
00e6     31a8     31a8     23bd0004     00     00000     00000001     1     0000080c     0     00000000
00e7     31ac     31ac     40167000     00     00000     00000001     1     000030fc     0     00000000
00e8     31b0     31b0     afb60000     00     00000     00000001     0     00000000     1     000030fc
00e9     31b4     31b4     23bd0004     00     00000     00000001     1     00000810     0     00000000
00ea     31b8     31b8     40806000     00     00000     00000001     0     00000000     0     00000000
00eb     31bc     31bc     20160002     00     00000     00000001     1     00000002     0     00000000
00ec     31c0     31c0     20140003     00     00000     00000001     1     00000003     0     00000000
00ed     31c4     31c4     20150001     00     00000     00000001     1     00000001     0     00000000
00ee     31c8     31c8     00168020     00     00000     00000001     1     00000002     0     00000000
00ef     31cc     31cc     00108100     00     00000     00000001     1     00000020     0     00000000
00f0     31d0     31d0     02149825     00     00000     00000001     1     00000023     0     00000000
00f1     31d4     31d4     00132020     00     00000     00000001     1     00000023     0     00000000
00f2     31d8     31d8     20020022     00     00000     00000001     1     00000022     0     00000000
00f3     31dc     31dc     0000000c     00     00000     00000001     0     00000000     0     00000000
00f4     31e0     31e0     1600fffa     00     00000     00000023     0     00000000     0     00000000
00f5     31cc     31cc     00108100     00     00000     00000023     1     00000200     0     00000000
00f6     31d0     31d0     02149825     00     00000     00000023     1     00000203     0     00000000
00f7     31d4     31d4     00132020     00     00000     00000023     1     00000203     0     00000000
00f8     31d8     31d8     20020022     00     00000     00000023     1     00000022     0     00000000
00f9     31dc     31dc     0000000c     00     00000     00000023     0     00000000     0     00000000
00fa     31e0     31e0     1600fffa     00     00000     00000203     0     00000000     0     00000000
00fb     31cc     31cc     00108100     00     00000     00000203     1     00002000     0     00000000
00fc     31d0     31d0     02149825     00     00000     00000203     1     00002003     0     00000000
00fd     31d4     31d4     00132020     00     00000     00000203     1     00002003     0     00000000
00fe     31d8     31d8     20020022     00     00000     00000203     1     00000022     0     00000000
00ff     31dc     31dc     0000000c     00     00000     00000203     0     00000000     0     00000000
0100     31e0     31e0     1600fffa     00     00000     00002003     0     00000000     0     00000000
0101     31cc     31cc     00108100     00     00000     00002003     1     00020000     0     00000000
0102     31d0     31d0     02149825     00     00000     00002003     1     00020003     0     00000000
0103     31d4     31d4     00132020     00     00000     00002003     1     00020003     0     00000000
0104     31d8     31d8     20020022     00     00000     00002003     1     00000022     0     00000000
0105     31dc     31dc     0000000c     00     00000     00002003     0     00000000     0     00000000
0106     31e0     31e0     1600fffa     00     00000     00020003     0     00000000     0     00000000
0107     31cc     31cc     00108100     00     00000     00020003     1     00200000     0     00000000
0108     31d0     31d0     02149825     00     00000     00020003     1     00200003     0     00000000
0109     31d4     31d4     00132020     00     00000     00020003     1     00200003     0     00000000
010a     31d8     31d8     20020022     00     00000     00020003     1     00000022     0     00000000
010b     31dc     31dc     0000000c     00     00000     00020003     0     00000000     0     00000000
010c     31e0     31e0     1600fffa     00     00000     00200003     0     00000000     0     00000000
010d     31cc     31cc     00108100     00     00000     00200003     1     02000000     0     00000000
010e     31d0     31d0     02149825     00     00000     00200003     1     02000003     0     00000000
010f     31d4     31d4     00132020     00     00000     00200003     1     02000003     0     00000000
0110     31d8     31d8     20020022     00     00000     00200003     1     00000022     0     00000000
0111     31dc     31dc     0000000c     00     00000     00200003     0     00000000     0     00000000
0112     31e0     31e0     1600fffa     00     00000     02000003     0     00000000     0     00000000
0113     31cc     31cc     00108100     00     00000     02000003     1     20000000     0     00000000
0114     31d0     31d0     02149825     00     00000     02000003     1     20000003     0     00000000
0115     31d4     31d4     00132020     00     00000     02000003     1     20000003     0     00000000
0116     31d8     31d8     20020022     00     00000     02000003     1     00000022     0     00000000
0117     31dc     31dc     0000000c     00     00000     02000003     0     00000000     0     00000000
0118     31e0     31e0     1600fffa     00     00000     20000003     0     00000000     0     00000000
0119     31cc     31cc     00108100     00     00000     20000003     1     00000000     0     00000000
011a     31d0     31d0     02149825     00     00000     20000003     1     00000003     0     00000000
011b     31d4     31d4     00132020     00     00000     20000003     1     00000003     0     00000000
011c     31d8     31d8     20020022     00     00000     20000003     1     00000022     0     00000000
011d     31dc     31dc     0000000c     00     00000     20000003     0     00000000     0     00000000
011e     31e0     31e0     1600fffa     00     00000     00000003     0     00000000     0     00000000
011f     31e4     31e4     0295a022     00     00000     00000003     1     00000002     0     00000000
0120     31e8     31e8     1680fff7     00     00000     00000003     0     00000000     0     00000000
0121     31c8     31c8     00168020     00     00000     00000003     1     00000002     0     00000000
0122     31cc     31cc     00108100     00     00000     00000003     1     00000020     0     00000000
0123     31d0     31d0     02149825     00     00000     00000003     1     00000022     0     00000000
0124     31d4     31d4     00132020     00     00000     00000003     1     00000022     0     00000000
0125     31d8     31d8     20020022     00     00000     00000003     1     00000022     0     00000000
0126     31dc     31dc     0000000c     00     00000     00000003     0     00000000     0     00000000
0127     31e0     31e0     1600fffa     00     00000     00000022     0     00000000     0     00000000
0128     31cc     31cc     00108100     00     00000     00000022     1     00000200     0     00000000
0129     31d0     31d0     02149825     00     00000     00000022     1     00000202     0     00000000
012a     31d4     31d4     00132020     00     00000     00000022     1     00000202     0     00000000
012b     31d8     31d8     20020022     00     00000     00000022     1     00000022     0     00000000
012c     31dc     31dc     0000000c     00     00000     00000022     0     00000000     0     00000000
012d     31e0     31e0     1600fffa     00     00000     00000202     0     00000000     0     00000000
012e     31cc     31cc     00108100     00     00000     00000202     1     00002000     0     00000000
012f     31d0     31d0     02149825     00     00000     00000202     1     00002002     0     00000000
0130     31d4     31d4     00132020     00     00000     00000202     1     00002002     0     00000000
0131     31d8     31d8     20020022     00     00000     00000202     1     00000022     0     00000000
0132     31dc     31dc     0000000c     00     00000     00000202     0     00000000     0     00000000
0133     31e0     31e0     1600fffa     00     00000     00002002     0     00000000     0     00000000
0134     31cc     31cc     00108100     00     00000     00002002     1     00020000     0     00000000
0135     31d0     31d0     02149825     00     00000     00002002     1     00020002     0     00000000
0136     31d4     31d4     00132020     00     00000     00002002     1     00020002     0     00000000
0137     31d8     31d8     20020022     00     00000     00002002     1     00000022     0     00000000
0138     31dc     31dc     0000000c     00     00000     00002002     0     00000000     0     00000000
0139     31e0     31e0     1600fffa     00     00000     00020002     0     00000000     0     00000000
013a     31cc     31cc     00108100     00     00000     00020002     1     00200000     0     00000000
013b     31d0     31d0     02149825     00     00000     00020002     1     00200002     0     00000000
013c     31d4     31d4     00132020     00     00000     00020002     1     00200002     0     00000000
013d     31d8     31d8     20020022     00     00000     00020002     1     00000022     0     00000000
013e     31dc     31dc     0000000c     00     00000     00020002     0     00000000     0     00000000
013f     31e0     31e0     1600fffa     00     00000     00200002     0     00000000     0     00000000
0140     31cc     31cc     00108100     00     00000     00200002     1     02000000     0     00000000
0141     31d0     31d0     02149825     00     00000     00200002     1     02000002     0     00000000
0142     31d4     31d4     00132020     00     00000     00200002     1     02000002     0     00000000
0143     31d8     31d8     20020022     00     00000     00200002     1     00000022     0     00000000
0144     31dc     31dc     0000000c     00     00000     00200002     0     00000000     0     00000000
0145     31e0     31e0     1600fffa     00     00000     02000002     0     00000000     0     00000000
0146     31cc     31cc     00108100     00     00000     02000002     1     20000000     0     00000000
0147     31d0     31d0     02149825     00     00000     02000002     1     20000002     0     00000000
0148     31d4     31d4     00132020     00     00000     02000002     1     20000002     0     00000000
0149     31d8     31d8     20020022     00     00000     02000002     1     00000022     0     00000000
014a     31dc     31dc     0000000c     00     00000     02000002     0     00000000     0     00000000
014b     31e0     31e0     1600fffa     00     00000     20000002     0     00000000     0     00000000
014c     31cc     31cc     00108100     00     00000     20000002     1     00000000     0     00000000
014d     31d0     31d0     02149825     00     00000     20000002     1     00000002     0     00000000
014e     31d4     31d4     00132020     00     00000     20000002     1     00000002     0     00000000
014f     31d8     31d8     20020022     00     00000     20000002     1     00000022     0     00000000
0150     31dc     31dc     0000000c     00     00000     20000002     0     00000000     0     00000000
0151     31e0     31e0     1600fffa     00     00000     00000002     0     00000000     0     00000000
0152     31e4     31e4     0295a022     00     00000     00000002     1     00000001     0     00000000
0153     31e8     31e8     1680fff7     00     00000     00000002     0     00000000     0     00000000
0154     31c8     31c8     00168020     00     00000     00000002     1     00000002     0     00000000
0155     31cc     31cc     00108100     00     00000     00000002     1     00000020     0     00000000
0156     31d0     31d0     02149825     00     00000     00000002     1     00000021     0     00000000
0157     31d4     31d4     00132020     00     00000     00000002     1     00000021     0     00000000
0158     31d8     31d8     20020022     00     00000     00000002     1     00000022     0     00000000
0159     31dc     31dc     0000000c     00     00000     00000002     0     00000000     0     00000000
015a     31e0     31e0     1600fffa     00     00000     00000021     0     00000000     0     00000000
015b     31cc     31cc     00108100     00     00000     00000021     1     00000200     0     00000000
015c     31d0     31d0     02149825     00     00000     00000021     1     00000201     0     00000000
015d     31d4     31d4     00132020     00     00000     00000021     1     00000201     0     00000000
