CLKs     PCr      PCs      IRs          PCerr  Werr      LEDs         RegW  RDins        MemW  MDins
009d     3264     3264     1600fffa     00     00000     00003001     0     00000000     0     00000000
009e     3250     3250     00108100     00     00000     00003001     1     00030000     0     00000000
009f     3254     3254     02149825     00     00000     00003001     1     00030001     0     00000000
00a0     3258     3258     00132020     00     00000     00003001     1     00030001     0     00000000
00a1     325c     325c     20020022     00     00000     00003001     1     00000022     0     00000000
00a2     3260     3260     0000000c     00     00000     00003001     0     00000000     0     00000000
00a3     3264     3264     1600fffa     00     00000     00030001     0     00000000     0     00000000
00a4     3250     3250     00108100     00     00000     00030001     1     00300000     0     00000000
00a5     3254     3254     02149825     00     00000     00030001     1     00300001     0     00000000
00a6     3258     3258     00132020     00     00000     00030001     1     00300001     0     00000000
00a7     325c     325c     20020022     00     00000     00030001     1     00000022     0     00000000
00a8     3260     3260     0000000c     00     00000     00030001     0     00000000     0     00000000
00a9     3264     3264     1600fffa     00     00000     00300001     0     00000000     0     00000000
00aa     3250     3250     00108100     00     00000     00300001     1     03000000     0     00000000
00ab     3254     3254     02149825     00     00000     00300001     1     03000001     0     00000000
00ac     3258     3258     00132020     00     00000     00300001     1     03000001     0     00000000
00ad     325c     325c     20020022     00     00000     00300001     1     00000022     0     00000000
00ae     3260     3260     0000000c     00     00000     00300001     0     00000000     0     00000000
00af     3264     3264     1600fffa     00     00000     03000001     0     00000000     0     00000000
00b0     3250     3250     00108100     00     00000     03000001     1     30000000     0     00000000
00b1     3254     3254     02149825     00     00000     03000001     1     30000001     0     00000000
00b2     3258     3258     00132020     00     00000     03000001     1     30000001     0     00000000
00b3     325c     325c     20020022     00     00000     03000001     1     00000022     0     00000000
00b4     3260     3260     0000000c     00     00000     03000001     0     00000000     0     00000000
00b5     3264     3264     1600fffa     00     00000     30000001     0     00000000     0     00000000
00b6     3250     3250     00108100     00     00000     30000001     1     00000000     0     00000000
00b7     3254     3254     02149825     00     00000     30000001     1     00000001     0     00000000
00b8     3258     3258     00132020     00     00000     30000001     1     00000001     0     00000000
00b9     325c     325c     20020022     00     00000     30000001     1     00000022     0     00000000
00ba     3260     3260     0000000c     00     00000     30000001     0     00000000     0     00000000
00bb     3264     3264     1600fffa     00     00000     00000001     0     00000000     0     00000000
00bc     3268     3268     0295a022     00     00000     00000001     1     00000000     0     00000000
00bd     326c     326c     1680fff7     00     00000     00000001     0     00000000     0     00000000
00be     3270     3270     40800000     00     00000     00000001     0     00000000     0     00000000
00bf     3274     3274     23bdfffc     00     00000     00000001     1     00000804     0     00000000
00c0     3278     3278     8fb60000     00     00000     00000001     1     00000001     0     00000000
00c1     327c     327c     23bdfffc     00     00000     00000001     1     00000800     0     00000000
00c2     3280     3280     8fb50000     00     00000     00000001     1     00000000     0     00000000
00c3     3284     3284     23bdfffc     00     00000     00000001     1     000007fc     0     00000000
00c4     3288     3288     8fb40000     00     00000     00000001     1     00000000     0     00000000
00c5     328c     328c     23bdfffc     00     00000     00000001     1     000007f8     0     00000000
00c6     3290     3290     8fb30000     00     00000     00000001     1     80000000     0     00000000
00c7     3294     3294     23bdfffc     00     00000     00000001     1     000007f4     0     00000000
00c8     3298     3298     8fb00000     00     00000     00000001     1     00000001     0     00000000
00c9     329c     329c     23bdfffc     00     00000     00000001     1     000007f0     0     00000000
00ca     32a0     32a0     8fa40000     00     00000     00000001     1     00000000     0     00000000
00cb     32a4     32a4     23bdfffc     00     00000     00000001     1     000007ec     0     00000000
00cc     32a8     32a8     8fa20000     00     00000     00000001     1     00000000     0     00000000
00cd     32ac     32ac     42000018     00     00000     00000001     0     00000000     0     00000000
00ce     30ec     30ec     20140003     00     00000     00000001     1     00000003     0     00000000
00cf     3158     3158     afa20000     00     00000     00000001     0     00000000     1     00000000
00d0     315c     315c     23bd0004     00     00000     00000001     1     000007f0     0     00000000
00d1     3160     3160     afa40000     00     00000     00000001     0     00000000     1     00000000
